S. No.,Employee Id,First Name,Last Name,Full Name,Gender,Marital Status,Age,Date Of Birth,Date Of Joining,Date of Leaving,Designation,Department,Work Location,Status,Qualification,Shift Details,Current CTC
8623,ASG08623,Eiravati,Khurana,Eiravati Khurana,Female,Married,40,1986-08-03,2024-07-19,,Senior Sales Executive,Sales,Kolkata,Active,UG,Day,1926000
8624,ASG08624,Vansha,Choudhry,Vansha Choudhry,Female,Single,33,1993-07-10,2024-07-20,,Regional Sales Lead,Sales,Hyderabad,Active,UG,Night,1488000
8625,ASG08625,Qadim,Sathe,Qadim Sathe,Male,Married,28,1998-08-29,2024-07-20,,Sales Executive,Sales,Hyderabad,Active,PG,Mid,868000
8626,ASG08626,Aryan,Sabharwal,Aryan Sabharwal,Male,Married,38,1988-06-05,2024-07-20,,Data Analyst,Analytics,Chennai,Active,PG,Mid,1363000
8627,ASG08627,Ria,Kapadia,Ria Kapadia,Female,Married,44,1982-05-27,2024-07-20,,Senior Data Analyst,Analytics,Bangalore,Active,UG,Day,2276000
8628,ASG08628,Balveer,Sagar,Balveer Sagar,Male,Single,54,1972-07-28,2024-07-21,,HR Manager,HR,Mumbai,Active,UG,Day,3458000
8629,ASG08629,Ria,Chowdhury,Ria Chowdhury,Female,Single,49,1976-11-29,2024-07-21,,Analytics Manager,Analytics,Chennai,Active,PG,Day,3089000
8630,ASG08630,Quincy,Prabhu,Quincy Prabhu,Male,Married,31,1995-07-25,2024-07-22,,HR Analyst,HR,Bangalore,Active,PG,Night,1027000
8631,ASG08631,Indira,Pai,Indira Pai,Female,Married,36,1989-10-18,2024-07-22,,Regional Sales Lead,Sales,Bangalore,Active,PG,Mid,1639000
8632,ASG08632,Ekta,Behl,Ekta Behl,Female,Single,27,1999-04-26,2024-07-22,,HR Executive,HR,Kolkata,Active,UG,Mid,706000
8633,ASG08633,Gaurang,Magar,Gaurang Magar,Male,Married,55,1971-01-10,2024-07-24,,HR Manager,HR,Bangalore,Active,PG,Day,3546000
8634,ASG08634,Falguni,Kakar,Falguni Kakar,Female,Single,50,1976-05-07,2024-07-24,2026-08-28,Sales Manager,Sales,Bangalore,Relieved,PG,Day,3231000
8635,ASG08635,Raghav,Parmar,Raghav Parmar,Male,Married,40,1986-03-07,2024-07-24,,Senior Data Analyst,Analytics,Bangalore,Active,UG,Day,1961000
8636,ASG08636,Zehaan,Savant,Zehaan Savant,Male,Married,32,1993-11-19,2024-07-25,2025-05-03,Accounts Executive,Finance,Mumbai,Relieved,UG,Night,1070000
8637,ASG08637,Devansh,Chatterjee,Devansh Chatterjee,Male,Single,31,1995-05-12,2024-07-26,,Payroll Analyst,Payroll,Hyderabad,Active,PG,Mid,983000
8638,ASG08638,Gavin,Ahuja,Gavin Ahuja,Male,Single,27,1999-08-22,2024-07-28,,Payroll Executive,Payroll,Hyderabad,Active,PG,Day,695000
8639,ASG08639,Sara,Chaudhuri,Sara Chaudhuri,Female,Married,24,2002-08-10,2024-07-28,,HR Executive,HR,Bangalore,Active,UG,Day,552000
8640,ASG08640,Jairaj,Ghosh,Jairaj Ghosh,Male,Married,25,2001-02-19,2024-07-28,,HR Executive,HR,Mumbai,Active,PG,Day,588000
8641,ASG08641,Alka,Parmar,Alka Parmar,Female,Single,47,1979-04-30,2024-07-28,,Analytics Manager,Analytics,Chennai,Active,PG,Mid,2942000
8642,ASG08642,Naveen,Pai,Naveen Pai,Male,Married,38,1988-02-14,2024-07-29,2024-11-13,Accounts Executive,Finance,Bangalore,Relieved,PG,Day,1351000
8643,ASG08643,Hemani,Kalla,Hemani Kalla,Female,Married,44,1982-08-11,2024-07-29,,Regional Sales Lead,Sales,Mumbai,Active,UG,Day,2216000
8644,ASG08644,Yashica,Kumer,Yashica Kumer,Female,Single,26,1999-10-20,2024-07-30,,Sales Executive,Sales,Hyderabad,Active,UG,Mid,725000
8645,ASG08645,Raagini,Bobal,Raagini Bobal,Female,Married,39,1987-01-16,2024-07-30,,Senior Sales Executive,Sales,Hyderabad,Active,PG,Mid,1885000
8646,ASG08646,Eshana,Khatri,Eshana Khatri,Female,Single,39,1987-04-22,2024-07-31,2025-11-24,Sr Accountant,Finance,Mumbai,Relieved,UG,Mid,1877000
8647,ASG08647,Jagat,Mand,Jagat Mand,Male,Married,45,1981-05-20,2024-07-31,,Senior Sales Executive,Sales,Mumbai,Active,UG,Night,2276000
8648,ASG08648,Panini,Sami,Panini Sami,Female,Married,41,1985-05-08,2024-07-31,2025-07-23,Senior Data Analyst,Analytics,Mumbai,Relieved,PG,Day,2016000
8649,ASG08649,Ekbal,Parekh,Ekbal Parekh,Male,Single,35,1990-10-11,2024-07-31,,Regional Sales Lead,Sales,Bangalore,Active,PG,Day,1583000
8650,ASG08650,Ethan,Menon,Ethan Menon,Male,Married,39,1987-08-19,2024-07-31,,Senior Data Analyst,Analytics,Bangalore,Active,PG,Night,1856000
8651,ASG08651,Gaurangi,Sridhar,Gaurangi Sridhar,Female,Married,32,1994-04-17,2024-08-01,2025-12-16,Senior Sales Executive,Sales,Kolkata,Relieved,PG,Day,1414000
8652,ASG08652,Abeer,Rastogi,Abeer Rastogi,Male,Married,49,1977-08-10,2024-08-01,2026-05-07,Sales Manager,Sales,Hyderabad,Relieved,UG,Day,3126000
8653,ASG08653,Falak,Ratti,Falak Ratti,Female,Married,25,2000-12-03,2024-08-01,,Data Analyst,Analytics,Bangalore,Active,UG,Day,713000
8654,ASG08654,Rachit,Chauhan,Rachit Chauhan,Male,Married,42,1984-08-22,2024-08-01,,Senior Data Analyst,Analytics,Chennai,Active,PG,Night,2085000
8655,ASG08655,Umang,Dutta,Umang Dutta,Male,Single,45,1981-04-25,2024-08-02,,Regional Sales Lead,Sales,Chennai,Active,UG,Day,2325000
8656,ASG08656,Abeer,Karpe,Abeer Karpe,Male,Married,28,1998-03-14,2024-08-03,,HR Analyst,HR,Kolkata,Active,PG,Day,862000
8657,ASG08657,Vedhika,Bhavsar,Vedhika Bhavsar,Female,Single,36,1990-05-30,2024-08-04,,Senior Payroll Analyst,Payroll,Mumbai,Active,UG,Day,1686000
8658,ASG08658,Samuel,Yogi,Samuel Yogi,Male,Married,33,1992-10-31,2024-08-04,,Regional Sales Lead,Sales,Chennai,Active,PG,Night,1498000
8659,ASG08659,Madhavi,Contractor,Madhavi Contractor,Female,Married,25,2000-12-10,2024-08-04,2026-05-22,HR Analyst,HR,Bangalore,Relieved,PG,Day,688000
8660,ASG08660,Gautami,Kanda,Gautami Kanda,Female,Single,26,1999-11-10,2024-08-05,,Accounts Executive,Finance,Kolkata,Active,PG,Night,719000
8661,ASG08661,Teerth,Biswas,Teerth Biswas,Male,Married,27,1999-04-13,2024-08-06,,Payroll Analyst,Payroll,Bangalore,Active,PG,Day,808000
8662,ASG08662,Shravya,Sami,Shravya Sami,Female,Married,38,1987-10-30,2024-08-06,,Sales Executive,Sales,Kolkata,Active,PG,Mid,1320000
8663,ASG08663,Vedhika,Behl,Vedhika Behl,Female,Married,40,1986-03-30,2024-08-06,,Senior Payroll Analyst,Payroll,Mumbai,Active,PG,Mid,1984000
8664,ASG08664,Ira,Jha,Ira Jha,Female,Married,49,1977-07-23,2024-08-06,2026-08-08,Sales Manager,Sales,Kolkata,Relieved,PG,Day,3079000
8665,ASG08665,Krish,Parekh,Krish Parekh,Male,Married,49,1977-07-05,2024-08-06,2024-11-05,Finance Manager,Finance,Mumbai,Relieved,PG,Day,3144000
8666,ASG08666,Brinda,Verma,Brinda Verma,Female,Married,44,1982-05-06,2024-08-08,2026-04-30,Regional Sales Lead,Sales,Hyderabad,Relieved,PG,Day,2200000
8667,ASG08667,Oviya,Solanki,Oviya Solanki,Female,Married,31,1995-06-10,2024-08-08,,Accounts Executive,Finance,Kolkata,Active,PG,Mid,1029000
8668,ASG08668,Dayita,Khurana,Dayita Khurana,Female,Married,49,1976-11-17,2024-08-08,2026-04-16,Finance Manager,Finance,Kolkata,Relieved,UG,Night,3085000
8669,ASG08669,Champak,Bhargava,Champak Bhargava,Male,Married,36,1990-03-02,2024-08-09,,Regional Sales Lead,Sales,Mumbai,Active,UG,Night,1645000
8670,ASG08670,Advay,Brar,Advay Brar,Male,Married,40,1985-12-04,2024-08-10,,Regional Sales Lead,Sales,Hyderabad,Active,PG,Night,1924000
8671,ASG08671,Upasna,Sunder,Upasna Sunder,Female,Married,23,2002-10-01,2024-08-10,,Sales Trainee,Sales,Chennai,Active,PG,Day,493000
8672,ASG08672,Isaac,Lad,Isaac Lad,Male,Married,36,1989-12-12,2024-08-10,,Senior Payroll Analyst,Payroll,Bangalore,Active,UG,Mid,1710000
8673,ASG08673,Chandran,Singh,Chandran Singh,Male,Married,31,1994-11-10,2024-08-11,,Sales Executive,Sales,Mumbai,Active,PG,Mid,994000
8674,ASG08674,Udyati,Baria,Udyati Baria,Female,Single,32,1994-05-18,2024-08-11,,Sr Accountant,Finance,Mumbai,Active,UG,Day,1388000
8675,ASG08675,Aarush,Pillay,Aarush Pillay,Male,Married,26,2000-08-10,2024-08-11,,Accounts Trainee,Finance,Kolkata,Active,UG,Night,651000
8676,ASG08676,Divya,Chander,Divya Chander,Female,Single,35,1991-08-19,2024-08-12,,Senior Payroll Analyst,Payroll,Mumbai,Active,UG,Day,1603000
8677,ASG08677,Yamini,Som,Yamini Som,Female,Single,31,1995-04-15,2024-08-12,,Accounts Executive,Finance,Kolkata,Active,UG,Day,1031000
8678,ASG08678,Nilima,Majumdar,Nilima Majumdar,Female,Married,27,1999-08-07,2024-08-13,,HR Executive,HR,Mumbai,Active,UG,Day,698000
8679,ASG08679,Ekbal,Dasgupta,Ekbal Dasgupta,Male,Married,37,1988-10-17,2024-08-13,,Sr Accountant,Finance,Bangalore,Active,PG,Night,1725000
8680,ASG08680,Yamini,Karnik,Yamini Karnik,Female,Single,56,1969-12-27,2024-08-13,,Analytics Manager,Analytics,Kolkata,Active,UG,Day,3626000
8681,ASG08681,Peter,Nori,Peter Nori,Male,Married,32,1994-01-06,2024-08-14,,Regional Sales Lead,Sales,Chennai,Active,UG,Day,1443000
8682,ASG08682,Chaitaly,Patel,Chaitaly Patel,Female,Married,37,1989-07-09,2024-08-14,,Sr Accountant,Finance,Chennai,Active,UG,Mid,1714000
8683,ASG08683,Inaya,Ranganathan,Inaya Ranganathan,Female,Single,33,1993-07-20,2024-08-14,,Senior Sales Executive,Sales,Mumbai,Active,UG,Mid,1440000
8684,ASG08684,Yashasvi,Golla,Yashasvi Golla,Female,Single,33,1993-06-13,2024-08-15,2025-08-31,Senior Sales Executive,Sales,Bangalore,Relieved,UG,Day,1439000
8685,ASG08685,Amol,Pradhan,Amol Pradhan,Male,Married,38,1988-04-29,2024-08-15,,Payroll Analyst,Payroll,Hyderabad,Active,PG,Day,1344000
8686,ASG08686,Damini,Sagar,Damini Sagar,Female,Married,34,1991-12-16,2024-08-15,,Sr Accountant,Finance,Mumbai,Active,UG,Night,1494000
8687,ASG08687,Unni,Sunder,Unni Sunder,Female,Single,37,1989-07-13,2024-08-15,,Senior Payroll Analyst,Payroll,Chennai,Active,UG,Mid,1754000
8688,ASG08688,Falan,Arya,Falan Arya,Male,Married,35,1991-04-26,2024-08-15,,Data Analyst,Analytics,Chennai,Active,PG,Day,1230000
8689,ASG08689,Aryan,Chaudhry,Aryan Chaudhry,Male,Married,44,1982-02-08,2024-08-17,2025-10-23,Senior Payroll Analyst,Payroll,Chennai,Relieved,PG,Mid,2257000
8690,ASG08690,Simon,Gopal,Simon Gopal,Male,Single,33,1992-11-28,2024-08-17,,Senior Data Analyst,Analytics,Bangalore,Active,PG,Day,1430000
8691,ASG08691,Finn,Uppal,Finn Uppal,Male,Married,38,1987-09-19,2024-08-17,,Data Analyst,Analytics,Hyderabad,Active,UG,Day,1322000
8692,ASG08692,Ekbal,Dani,Ekbal Dani,Male,Married,45,1980-11-26,2024-08-17,2026-05-21,Sales Manager,Sales,Chennai,Relieved,PG,Mid,2810000
8693,ASG08693,Darpan,Rattan,Darpan Rattan,Male,Married,45,1980-12-24,2024-08-17,,Senior Sales Executive,Sales,Kolkata,Active,PG,Day,2257000
8694,ASG08694,Bhavya,Vala,Bhavya Vala,Female,Married,56,1970-01-02,2024-08-18,2026-01-22,Analytics Manager,Analytics,Hyderabad,Relieved,PG,Day,3640000
8695,ASG08695,Jeevika,Chada,Jeevika Chada,Female,Single,40,1985-10-10,2024-08-18,,Senior Data Analyst,Analytics,Chennai,Active,PG,Day,1931000
8696,ASG08696,Aadhya,Bhalla,Aadhya Bhalla,Female,Single,35,1991-03-29,2024-08-19,,Senior Data Analyst,Analytics,Kolkata,Active,PG,Day,1587000
8697,ASG08697,Aradhana,Talwar,Aradhana Talwar,Female,Married,34,1992-03-21,2024-08-19,,HR Analyst,HR,Hyderabad,Active,PG,Day,1122000
8698,ASG08698,Riya,Lata,Riya Lata,Female,Single,35,1991-06-11,2024-08-19,,Sr Accountant,Finance,Bangalore,Active,PG,Day,1644000
8699,ASG08699,William,Dixit,William Dixit,Male,Married,34,1992-01-04,2024-08-19,,Regional Sales Lead,Sales,Kolkata,Active,UG,Mid,1573000
8700,ASG08700,Yamini,Sabharwal,Yamini Sabharwal,Female,Married,42,1984-01-04,2024-08-21,,Senior Payroll Analyst,Payroll,Chennai,Active,PG,Day,2069000
8701,ASG08701,Nathan,Pandit,Nathan Pandit,Male,Married,39,1987-04-24,2024-08-21,,Senior Payroll Analyst,Payroll,Bangalore,Active,PG,Mid,1872000
8702,ASG08702,Nirja,Bajwa,Nirja Bajwa,Female,Married,44,1981-10-24,2024-08-21,,Senior Sales Executive,Sales,Bangalore,Active,PG,Mid,2199000
8703,ASG08703,Kabir,Rajan,Kabir Rajan,Male,Married,29,1997-07-22,2024-08-21,,HR Analyst,HR,Hyderabad,Active,PG,Day,900000
8704,ASG08704,Sudiksha,Batta,Sudiksha Batta,Female,Single,38,1988-04-22,2024-08-21,2026-05-09,HR Analyst,HR,Chennai,Relieved,UG,Night,1378000
8705,ASG08705,Ira,Zacharia,Ira Zacharia,Female,Single,32,1994-05-30,2024-08-22,,Sr Accountant,Finance,Chennai,Active,UG,Day,1371000
8706,ASG08706,Zinal,Singhal,Zinal Singhal,Female,Single,34,1991-11-26,2024-08-22,,Sr Accountant,Finance,Bangalore,Active,UG,Day,1548000
8707,ASG08707,Tristan,Dua,Tristan Dua,Male,Married,38,1988-04-05,2024-08-22,,Senior Data Analyst,Analytics,Mumbai,Active,PG,Mid,1776000
8708,ASG08708,Rayaan,Dyal,Rayaan Dyal,Male,Single,48,1978-03-22,2024-08-23,,HR Manager,HR,Kolkata,Active,UG,Day,3042000
8709,ASG08709,Simon,Sura,Simon Sura,Male,Single,44,1982-07-31,2024-08-23,2025-06-27,Senior Sales Executive,Sales,Hyderabad,Relieved,PG,Day,2207000
8710,ASG08710,Ranbir,Dora,Ranbir Dora,Male,Single,43,1983-04-16,2024-08-24,2026-04-27,Senior Payroll Analyst,Payroll,Mumbai,Relieved,PG,Day,2144000
8711,ASG08711,Vedika,Mani,Vedika Mani,Female,Single,33,1993-02-22,2024-08-24,,Regional Sales Lead,Sales,Kolkata,Active,UG,Mid,1498000
8712,ASG08712,Turvi,Soni,Turvi Soni,Female,Single,57,1969-03-02,2024-08-24,,Analytics Manager,Analytics,Hyderabad,Active,PG,Mid,3734000
8713,ASG08713,Ishanvi,Chandran,Ishanvi Chandran,Female,Single,33,1992-09-23,2024-08-25,,BI Developer,Analytics,Chennai,Active,PG,Day,1114000
8714,ASG08714,Advaith,Ahuja,Advaith Ahuja,Male,Married,24,2002-07-07,2024-08-25,2025-08-27,HR Executive,HR,Chennai,Relieved,UG,Day,540000
8715,ASG08715,Nakul,Yohannan,Nakul Yohannan,Male,Married,41,1984-12-18,2024-08-26,,Regional Sales Lead,Sales,Bangalore,Active,UG,Day,2026000
8716,ASG08716,Faras,Sastry,Faras Sastry,Male,Married,35,1990-10-23,2024-08-26,,Accounts Executive,Finance,Hyderabad,Active,UG,Day,1180000
8717,ASG08717,Ronith,Rajagopalan,Ronith Rajagopalan,Male,Married,29,1997-08-24,2024-08-26,,HR Analyst,HR,Chennai,Active,UG,Mid,892000
8718,ASG08718,Dakshesh,Kalita,Dakshesh Kalita,Male,Married,34,1992-08-05,2024-08-26,,Regional Sales Lead,Sales,Hyderabad,Active,PG,Day,1529000
8719,ASG08719,Aarav,Venkataraman,Aarav Venkataraman,Male,Married,35,1991-04-01,2024-08-27,,Senior Data Analyst,Analytics,Chennai,Active,UG,Day,1618000
8720,ASG08720,Osha,Pillay,Osha Pillay,Female,Married,32,1993-09-15,2024-08-27,,Sr Accountant,Finance,Mumbai,Active,UG,Day,1441000
8721,ASG08721,Nakul,Golla,Nakul Golla,Male,Single,30,1996-05-13,2024-08-27,,Payroll Analyst,Payroll,Mumbai,Active,UG,Day,935000
8722,ASG08722,Devansh,Barad,Devansh Barad,Male,Single,33,1993-05-10,2024-08-27,2025-02-11,Regional Sales Lead,Sales,Chennai,Relieved,PG,Night,1451000
8723,ASG08723,Gautami,Sandhu,Gautami Sandhu,Female,Single,42,1983-12-21,2024-08-27,2025-03-25,Senior Payroll Analyst,Payroll,Bangalore,Relieved,UG,Day,2050000
8724,ASG08724,Falak,Kanda,Falak Kanda,Female,Single,33,1993-08-18,2024-08-27,,Senior Payroll Analyst,Payroll,Kolkata,Active,UG,Day,1453000
8725,ASG08725,Irya,Keer,Irya Keer,Female,Single,28,1998-03-04,2024-08-28,,Data Analyst,Analytics,Mumbai,Active,UG,Day,822000
8726,ASG08726,Ranbir,Hegde,Ranbir Hegde,Male,Married,52,1973-10-15,2024-08-28,2025-05-22,Analytics Manager,Analytics,Chennai,Relieved,PG,Day,3380000
8727,ASG08727,Barkha,Arya,Barkha Arya,Female,Married,24,2002-04-30,2024-08-28,,Sales Trainee,Sales,Mumbai,Active,UG,Day,540000
8728,ASG08728,Bhanumati,Sur,Bhanumati Sur,Female,Single,33,1993-02-11,2024-08-29,,Regional Sales Lead,Sales,Hyderabad,Active,PG,Day,1501000
8729,ASG08729,Chaitanya,Sarkar,Chaitanya Sarkar,Male,Single,32,1994-06-24,2024-08-29,,Data Analyst,Analytics,Mumbai,Active,PG,Day,1064000
8730,ASG08730,Gunbir,Sarkar,Gunbir Sarkar,Male,Married,37,1989-04-26,2024-08-30,,Payroll Analyst,Payroll,Kolkata,Active,PG,Mid,1272000
8731,ASG08731,Zarna,Shanker,Zarna Shanker,Female,Married,29,1997-06-18,2024-08-30,,Data Analyst,Analytics,Hyderabad,Active,UG,Day,898000
8732,ASG08732,Zashil,Bhakta,Zashil Bhakta,Male,Married,46,1980-08-27,2024-08-30,,Analytics Manager,Analytics,Kolkata,Active,UG,Night,2827000
8733,ASG08733,Harrison,Radhakrishnan,Harrison Radhakrishnan,Male,Married,41,1985-08-01,2024-08-31,,Senior Data Analyst,Analytics,Kolkata,Active,PG,Day,2035000
8734,ASG08734,Tanish,Samra,Tanish Samra,Male,Married,56,1970-08-29,2024-08-31,,Analytics Manager,Analytics,Chennai,Active,PG,Mid,3688000
8735,ASG08735,Elijah,Nadig,Elijah Nadig,Male,Single,26,2000-05-27,2024-09-01,,Accounts Executive,Finance,Bangalore,Active,PG,Day,780000
8736,ASG08736,Zilmil,Sodhi,Zilmil Sodhi,Female,Married,33,1993-02-04,2024-09-01,2025-04-13,Accounts Executive,Finance,Chennai,Relieved,UG,Day,1081000
8737,ASG08737,Neelima,Patel,Neelima Patel,Female,Single,45,1980-10-11,2024-09-02,,Regional Sales Lead,Sales,Mumbai,Active,PG,Night,2323000
8738,ASG08738,Kashish,Batra,Kashish Batra,Female,Married,39,1987-04-21,2024-09-02,,Regional Sales Lead,Sales,Kolkata,Active,PG,Mid,1895000
8739,ASG08739,Omisha,Batta,Omisha Batta,Female,Married,26,2000-02-09,2024-09-03,,Payroll Analyst,Payroll,Bangalore,Active,UG,Day,754000
8740,ASG08740,Yuvraj,Baral,Yuvraj Baral,Male,Married,35,1991-07-03,2024-09-03,,Senior Payroll Analyst,Payroll,Chennai,Active,UG,Day,1615000
8741,ASG08741,Siya,Iyer,Siya Iyer,Female,Married,38,1987-10-30,2024-09-04,,Data Analyst,Analytics,Hyderabad,Active,PG,Day,1336000
8742,ASG08742,Bakhshi,Swamy,Bakhshi Swamy,Male,Married,34,1992-05-01,2024-09-04,2026-02-08,Regional Sales Lead,Sales,Hyderabad,Relieved,UG,Day,1520000
8743,ASG08743,Teerth,Sodhi,Teerth Sodhi,Male,Single,42,1984-07-22,2024-09-04,,Senior Data Analyst,Analytics,Mumbai,Active,UG,Day,2091000
8744,ASG08744,Mohammed,Barad,Mohammed Barad,Male,Married,37,1989-08-05,2024-09-05,,Senior Payroll Analyst,Payroll,Chennai,Active,PG,Day,1733000
8745,ASG08745,Omisha,Bajaj,Omisha Bajaj,Female,Single,47,1979-09-02,2024-09-05,,Analytics Manager,Analytics,Chennai,Active,PG,Day,2932000
8746,ASG08746,Kamala,Buch,Kamala Buch,Female,Single,32,1994-03-12,2024-09-06,,Accounts Executive,Finance,Hyderabad,Active,PG,Day,1080000
8747,ASG08747,Ekapad,Varty,Ekapad Varty,Male,Married,36,1989-10-30,2024-09-06,,Senior Sales Executive,Sales,Bangalore,Active,UG,Mid,1706000
8748,ASG08748,Jacob,Sen,Jacob Sen,Male,Single,38,1988-02-28,2024-09-06,,HR Analyst,HR,Kolkata,Active,UG,Day,1363000
8749,ASG08749,Chasmum,Upadhyay,Chasmum Upadhyay,Female,Married,32,1994-09-03,2024-09-07,,Sales Executive,Sales,Bangalore,Active,PG,Day,1035000
8750,ASG08750,Pushti,Babu,Pushti Babu,Female,Married,26,2000-07-08,2024-09-08,,HR Executive,HR,Kolkata,Active,UG,Night,642000
8751,ASG08751,Wishi,Agate,Wishi Agate,Female,Married,31,1994-11-24,2024-09-08,,HR Analyst,HR,Hyderabad,Active,PG,Day,1027000
8752,ASG08752,Adweta,Bali,Adweta Bali,Female,Married,42,1984-04-14,2024-09-08,,Senior Data Analyst,Analytics,Mumbai,Active,UG,Night,2081000
8753,ASG08753,Jacob,Aggarwal,Jacob Aggarwal,Male,Married,42,1984-06-22,2024-09-08,,Senior Payroll Analyst,Payroll,Hyderabad,Active,UG,Day,2065000
8754,ASG08754,Abhimanyu,Dasgupta,Abhimanyu Dasgupta,Male,Married,41,1984-10-30,2024-09-09,2025-12-04,Senior Sales Executive,Sales,Chennai,Relieved,PG,Mid,2035000
8755,ASG08755,Oni,Nigam,Oni Nigam,Female,Married,36,1990-07-22,2024-09-09,,Senior Payroll Analyst,Payroll,Chennai,Active,PG,Day,1654000
8756,ASG08756,Theodore,Sabharwal,Theodore Sabharwal,Male,Single,42,1984-04-07,2024-09-11,,Senior Data Analyst,Analytics,Kolkata,Active,PG,Day,2082000
8757,ASG08757,Gaurika,Chowdhury,Gaurika Chowdhury,Female,Single,36,1990-01-02,2024-09-11,,Payroll Analyst,Payroll,Kolkata,Active,PG,Day,1276000
8758,ASG08758,Aishani,Dixit,Aishani Dixit,Female,Married,55,1971-03-28,2024-09-11,,Sales Manager,Sales,Bangalore,Active,UG,Mid,3611000
8759,ASG08759,Chaitaly,Natt,Chaitaly Natt,Female,Single,46,1980-07-05,2024-09-12,,Sales Manager,Sales,Kolkata,Active,PG,Day,2892000
8760,ASG08760,Ubika,Jain,Ubika Jain,Female,Married,51,1974-11-29,2024-09-13,,Analytics Manager,Analytics,Mumbai,Active,UG,Day,3272000
8761,ASG08761,Yashica,Babu,Yashica Babu,Female,Married,55,1971-07-28,2024-09-13,,Sales Manager,Sales,Kolkata,Active,UG,Day,3601000
8762,ASG08762,Qasim,Roy,Qasim Roy,Male,Married,43,1982-10-11,2024-09-13,,Sr Accountant,Finance,Bangalore,Active,PG,Night,2200000
8763,ASG08763,Yamini,Tata,Yamini Tata,Female,Married,43,1983-01-31,2024-09-13,,Senior Payroll Analyst,Payroll,Hyderabad,Active,PG,Day,2138000
8764,ASG08764,Samaksh,Hora,Samaksh Hora,Male,Married,38,1987-12-28,2024-09-13,2026-03-06,Senior Payroll Analyst,Payroll,Hyderabad,Relieved,PG,Day,1821000
8765,ASG08765,Vyanjana,Chana,Vyanjana Chana,Female,Married,40,1986-01-31,2024-09-15,,Senior Data Analyst,Analytics,Kolkata,Active,PG,Day,1951000
8766,ASG08766,Eesha,Talwar,Eesha Talwar,Female,Single,33,1992-11-26,2024-09-15,,Senior Sales Executive,Sales,Chennai,Active,PG,Mid,1439000
8767,ASG08767,Urvi,Kakar,Urvi Kakar,Female,Married,38,1987-09-22,2024-09-15,,Senior Data Analyst,Analytics,Mumbai,Active,UG,Night,1836000
8768,ASG08768,Peter,Deshpande,Peter Deshpande,Male,Single,55,1970-11-20,2024-09-16,,HR Manager,HR,Chennai,Active,PG,Mid,3581000
8769,ASG08769,Neelima,Vyas,Neelima Vyas,Female,Married,40,1986-05-08,2024-09-17,,Senior Payroll Analyst,Payroll,Chennai,Active,UG,Mid,1957000
8770,ASG08770,William,Chokshi,William Chokshi,Male,Married,56,1970-04-04,2024-09-17,,Analytics Manager,Analytics,Hyderabad,Active,UG,Day,3613000
8771,ASG08771,Yadavi,Murty,Yadavi Murty,Female,Married,23,2002-09-16,2024-09-17,,Sales Trainee,Sales,Kolkata,Active,UG,Day,498000
8772,ASG08772,Sara,Ganguly,Sara Ganguly,Female,Single,22,2004-03-23,2024-09-18,2026-05-11,HR Executive,HR,Hyderabad,Relieved,UG,Night,450000
8773,ASG08773,Vanya,Sodhi,Vanya Sodhi,Female,Married,44,1982-06-06,2024-09-18,,Regional Sales Lead,Sales,Mumbai,Active,UG,Day,2199000
8774,ASG08774,Laban,Balay,Laban Balay,Male,Single,27,1999-05-12,2024-09-18,,HR Executive,HR,Mumbai,Active,PG,Day,710000
8775,ASG08775,Vaishnavi,Bhagat,Vaishnavi Bhagat,Female,Married,22,2003-10-18,2024-09-18,,Sales Trainee,Sales,Bangalore,Active,UG,Day,457000
8776,ASG08776,Omisha,Ratta,Omisha Ratta,Female,Married,32,1994-03-29,2024-09-18,,Regional Sales Lead,Sales,Kolkata,Active,UG,Night,1443000
8777,ASG08777,Ekansh,Chandra,Ekansh Chandra,Male,Married,38,1988-02-21,2024-09-20,,Sales Executive,Sales,Bangalore,Active,UG,Mid,1348000
8778,ASG08778,Girindra,Batra,Girindra Batra,Male,Married,32,1993-12-05,2024-09-20,,Accounts Executive,Finance,Kolkata,Active,PG,Day,1052000
8779,ASG08779,Girik,Naidu,Girik Naidu,Male,Married,48,1977-11-02,2024-09-21,2025-06-17,Payroll Manager,Payroll,Mumbai,Relieved,UG,Day,3004000
8780,ASG08780,George,Chand,George Chand,Male,Single,43,1983-02-03,2024-09-21,,Senior Sales Executive,Sales,Chennai,Active,PG,Day,2168000
8781,ASG08781,Om,Nayak,Om Nayak,Male,Married,35,1991-04-21,2024-09-22,,HR Analyst,HR,Hyderabad,Active,PG,Day,1215000
8782,ASG08782,Nirja,Chauhan,Nirja Chauhan,Female,Single,49,1977-02-08,2024-09-22,,HR Manager,HR,Bangalore,Active,UG,Mid,3148000
8783,ASG08783,Advik,Batta,Advik Batta,Male,Married,42,1984-04-17,2024-09-22,,Senior Payroll Analyst,Payroll,Chennai,Active,PG,Mid,2086000
8784,ASG08784,Rehaan,Bobal,Rehaan Bobal,Male,Married,33,1993-02-25,2024-09-23,,Senior Data Analyst,Analytics,Kolkata,Active,PG,Mid,1488000
8785,ASG08785,Nidhi,Comar,Nidhi Comar,Female,Married,43,1983-06-05,2024-09-23,2025-10-09,Regional Sales Lead,Sales,Bangalore,Relieved,PG,Day,2119000
8786,ASG08786,Tara,Khosla,Tara Khosla,Female,Married,26,2000-07-06,2024-09-24,,Payroll Analyst,Payroll,Mumbai,Active,PG,Day,725000
